,id,book,book2,chapter,verse,language,stem,und_do,L_object,K_object,infinitive_object,indirect_object,benefactive,location,dir_object,valence,obj_valence,source,remarks,main_sub,txt_type,genre,remarks,
1506,486216,Obadiah,Obadiah,1,2,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,main,Q,prophecy,,
1512,486861,Micah,Micah,6,7,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1514,486899,Micah,Micah,6,16,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,subadv,Q,prophecy,,
1518,487682,Zephaniah,Zephaniah,3,20,hbo,qal,0,0,0,1,1,0,0,1,110010,1100,,good,subadv,Q,prophecy,,
1529,488956,Malachi,Malachi,2,9,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prophecy,,
1531,489148,Psalms,Psalms,2,8,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,poetry,,
1536,489667,Psalms,Psalms,16,10,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,poetry,,
1538,489817,Psalms,Psalms,18,33,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,subadv,N,poetry,,
1552,490965,Psalms,Psalms,39,6,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,poetry,,
1555,491214,Psalms,Psalms,44,12,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,good,,,poetry,,
1565,492200,Psalms,Psalms,66,9,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,subadv,Q,poetry,,
1571,492408,Psalms,Psalms,69,12,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,subadv,N,poetry,,
1572,492443,Psalms,Psalms,69,22,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,N,poetry,,
1576,492747,Psalms,Psalms,74,14,hbo,qal,0,0,1,0,0,0,0,2,200001,2000,,good,main,Q,poetry,,
1584,493099,Psalms,Psalms,79,2,hbo,qal,0,0,1,0,0,0,0,2,200001,2000,,good,main,Q,poetry,,
1591,493598,Psalms,Psalms,89,28,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,poetry,,
1596,494348,Psalms,Psalms,105,11,hbo,qal,0,0,1,0,0,0,0,2,200001,2000,,good,main,Q,poetry,,
1597,494396,Psalms,Psalms,105,32,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,N,poetry,,
1601,494535,Psalms,Psalms,106,46,hbo,qal,0,0,0,1,1,0,0,1,110010,1100,,good,main,N,poetry,,
1611,495549,Psalms,Psalms,124,6,hbo,qal,0,0,1,0,0,0,0,2,200001,2000,,good,submod,Q,poetry,,
1614,495764,Psalms,Psalms,135,12,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,subadv,Q,poetry,,
1615,495836,Psalms,Psalms,136,21,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,submod,N,poetry,,
1622,496308,Psalms,Psalms,147,16,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,good,,,poetry,,
1631,497016,Job,Job,9,18,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,poetry,,
1644,498476,Job,Job,31,30,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,poetry,,
1703,502586,Song_of_songs,songs,8,1,hbo,qal,0,0,1,0,0,0,1,1,101001,1010,,good,,,poetry,,
1708,502724,Ecclesiastes,Ecclesiastes,1,17,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,poetry,,
1716,503069,Ecclesiastes,Ecclesiastes,5,5,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,poetry,,
1724,503372,Ecclesiastes,Ecclesiastes,8,16,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,poetry,,
1732,503715,Lamentations,Lamentations,1,13,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,poetry,,
1782,506322,Daniel,Daniel,10,12,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,prose,,
1820,507718,Nehemiah,Nehemiah,3,36,hbo,qal,0,0,0,1,1,0,0,1,110010,1100,,good,main,Q,prose,,
1869,510027,1_Chronicles,Chronicles,16,4,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,main,N,prose,,no
1871,510064,1_Chronicles,Chronicles,16,18,hbo,qal,0,0,1,0,0,0,0,2,200001,2000,,good,main,Q,prose,,psa 105:11
1872,510236,1_Chronicles,Chronicles,17,22,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,N,prose,,2sam7:24
1884,510665,1_Chronicles,Chronicles,22,19,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,prose,,no
1899,511311,2_Chronicles,Chronicles,1,15,hbo,qal,0,0,0,1,0,0,1,1,101010,1010,,good,,,prose,,1kgs10:27/2chr9:27
1900,511312,2_Chronicles,Chronicles,1,15,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,good,,,prose,,1kgs10:27/2chr9:27
1902,511363,2_Chronicles,Chronicles,2,10,hbo,qal,0,0,0,1,0,0,0,2,200010,2000,,good,main,Q,prose,,no
1917,511703,2_Chronicles,Chronicles,6,27,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,submod,Q,prose,,1kgs8:36
1924,511878,2_Chronicles,Chronicles,7,20,hbo,qal,0,0,0,1,1,0,0,1,110010,1100,,good,main,Q,prose,,1kgs9:7
1926,511915,2_Chronicles,Chronicles,8,9,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,submod,N,prose,,1kgs9:22
1927,511977,2_Chronicles,Chronicles,9,8,hbo,qal,0,0,0,1,1,0,0,1,110010,1100,,good,subadv,Q,prose,,1kgs10:9
1928,511980,2_Chronicles,Chronicles,9,8,hbo,qal,0,0,0,1,1,0,0,1,110010,1100,,good,main,Q,prose,,1kgs10:9
1934,512030,2_Chronicles,Chronicles,9,27,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,good,,,prose,,1kgs10:27/2chr1:15
1935,512031,2_Chronicles,Chronicles,9,27,hbo,qal,0,0,0,0,0,0,1,1,101000,1010,,good,,,prose,,1kgs10:27/2chr1:15
1939,512182,2_Chronicles,Chronicles,11,16,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,prose,,no
1955,512824,2_Chronicles,Chronicles,20,3,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,prose,,no
1971,513401,2_Chronicles,Chronicles,25,16,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prose,,no
1972,513422,2_Chronicles,Chronicles,25,18,hbo,qal,0,0,1,0,1,0,0,1,110001,1100,,good,main,Q,prose,,2kgs14:9
1981,513723,2_Chronicles,Chronicles,29,8,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,N,prose,,no
1982,513859,2_Chronicles,Chronicles,30,7,hbo,qal,0,0,0,0,1,0,0,1,110000,1100,,good,main,N,prose,,no
1991,514057,2_Chronicles,Chronicles,32,11,hbo,qal,0,1,0,0,0,0,0,1,100100,1001,,good,,,prose,,2kgs18:22/isa36:7
2005,514488,2_Chronicles,Chronicles,35,25,hbo,qal,0,0,0,1,1,0,0,1,110010,1100,,good,main,N,prose,,no
